ssvid,flag,vessel_class,gear_type
760115435,PER,fishing,other_purse_seines
760000080,PER,fishing,tuna_purse_seines
760015261,PER,fishing,other_purse_seines
760000580,PER,fishing,other_purse_seines
224992000,ESP,fishing,drifting_longlines
735057564,ECU,fishing,tuna_purse_seines
309689000,BHS,carrier,reefer
760013009,PER,fishing,other_purse_seines
431200520,JPN,fishing,drifting_longlines
760028488,PER,fishing,other_purse_seines
760038248,PER,fishing,other_purse_seines
760008653,PER,fishing,other_purse_seines
735058907,ECU,fishing,tuna_purse_seines
369253000,USA,fishing,tuna_purse_seines
412679810,CHN,fishing,squid_jigger
412421065,CHN,fishing,squid_jigger
760001250,PER,fishing,other_purse_seines
735057563,ECU,fishing,tuna_purse_seines
760001111,PER,fishing,other_purse_seines
760003510,PER,fishing,other_purse_seines
760020286,PER,fishing,other_purse_seines
412549383,CHN,fishing,squid_jigger
235057523,ECU,fishing,tuna_purse_seines
416842000,TWN,fishing,squid_jigger
735057785,ECU,fishing,tuna_purse_seines
760000013,PER,fishing,other_purse_seines
100007791,,fishing,other_purse_seines
760038087,PER,fishing,tuna_purse_seines
760013012,PER,fishing,tuna_purse_seines
431853000,JPN,fishing,drifting_longlines
412424703,CHN,fishing,squid_jigger
760006259,PER,fishing,other_purse_seines
760016647,PER,fishing,other_purse_seines
412420314,CHN,fishing,squid_jigger
412420574,CHN,fishing,squid_jigger
441699000,KOR,fishing,trawlers
412326883,CHN,fishing,squid_jigger
636016166,LBR,carrier,container_reefer
431700090,JPN,fishing,drifting_longlines
735057651,ECU,fishing,tuna_purse_seines
735057587,ECU,fishing,tuna_purse_seines
224366000,ESP,fishing,drifting_longlines
760010447,PER,fishing,other_purse_seines
760006709,PER,fishing,other_purse_seines
760877276,PER,fishing,other_purse_seines
735059088,ECU,fishing,tuna_purse_seines
735058041,ECU,bunker,bunker
263821000,PRT,fishing,drifting_longlines
760062504,PER,fishing,purse_seines
432914000,JPN,fishing,drifting_longlines
636016281,LBR,carrier,reefer
353490000,PAN,fishing,tuna_purse_seines
760001320,PER,fishing,other_purse_seines
760020741,PER,fishing,other_purse_seines
224313000,ESP,fishing,drifting_longlines
224130000,ESP,fishing,drifting_longlines
412421059,CHN,fishing,squid_jigger
760033663,PER,fishing,purse_seines
760113554,PER,fishing,other_purse_seines
760001190,PER,fishing,purse_seines
636016238,LBR,carrier,reefer
760000233,PER,fishing,purse_seines
308315000,BHS,carrier,reefer
309193000,BHS,carrier,reefer
224918000,ESP,fishing,drifting_longlines
263583000,PRT,fishing,drifting_longlines
100000008,CHN,fishing,purse_seines
760000620,PER,fishing,tuna_purse_seines
